"","term","pos.neg"
"827","darken","negative"
"829","darker","negative"
"831","dastard","negative"
"833","daunt","negative"
"836","dawdl","negative"
"837","daze","negative"
"839","dead","negative"
"840","deadbeat","negative"
"841","deadlock","negative"
"843","deadweight","negative"
"845","dearth","negative"
"846","death","negative"
"847","debacl","negative"
"848","debas","negative"
"852","debauch","negative"
"854","debaucheri","negative"
"857","debil","negative"
"858","debt","negative"
"860","decad","negative"
"862","decay","negative"
"864","deceit","negative"
"872","decept","negative"
"876","declin","negative"
"879","decrement","negative"
"880","decrepit","negative"
"881","decrepitud","negative"
"882","decri","negative"
"883","defam","negative"
"885","defamatori","negative"
"891","defianc","negative"
"894","defici","negative"
"899","deform","negative"
"901","defraud","negative"
"902","defunct","negative"
"903","defi","negative"
"907","degrad","negative"
"911","dehuman","negative"
"914","deject","negative"
"918","delay","negative"
"922","delinqu","negative"
"925","delirium","negative"
"926","delud","negative"
"928","delug","negative"
"929","delus","negative"
"930","delusion","negative"
"932","demean","negative"
"934","demis","negative"
"935","demolish","negative"
"937","demon","negative"
"943","demor","negative"
"946","denial","negative"
"949","denigr","negative"
"950","denounc","negative"
"952","dent","negative"
"955","denunci","negative"
"960","deplet","negative"
"961","deplor","negative"
"966","deprav","negative"
"969","deprec","negative"
"970","depress","negative"
"976","depriv","negative"
"978","derid","negative"
"979","deris","negative"
"983","derogatori","negative"
"984","desecr","negative"
"985","desert","negative"
"987","desicc","negative"
"989","desititut","negative"
"990","desol","negative"
"993","despair","negative"
"996","desper","negative"
"999","despic","negative"
"1001","despis","negative"
"1003","despoil","negative"
"1005","despond","negative"
"1012","destabilis","negative"
"1013","destain","negative"
"1014","destitut","negative"
"1016","destroy","negative"
"1018","destruct","negative"
"1020","desultori","negative"
"1022","deterior","negative"
"1025","deterr","negative"
"1026","detest","negative"
"1032","detract","negative"
"1037","detriment","negative"
"1039","devast","negative"
"1045","deviat","negative"
"1047","devil","negative"
"1048","devilish","negative"
"1051","devilri","negative"
"1052","devious","negative"
"1055","devoid","negative"
"1056","diabol","negative"
